i,c,d,l,s,pr
399,106,7,566,916.000000,0.606531
400,106,7,566,916.000000,0.310797
401,107,7,564,914.000000,0.433389
402,107,7,564,914.000000,0.309583
403,107,7,564,914.000000,0.308974
404,108,7,562,912.000000,0.431565
405,108,7,566,916.000000,0.156946
406,108,7,566,916.000000,0.307144
407,108,7,572,922.000000,0.111253
408,108,7,572,922.000000,0.30592
409,108,7,571,921.000000,0.361697
410,109,7,569,919.000000,0.427887
411,109,7,569,919.000000,0.304076
412,110,7,566,916.000000,0.505893
413,110,7,566,916.000000,0.302843
414,110,7,566,916.000000,0.302226
415,110,7,562,912.000000,0.598279
416,110,7,562,912.000000,0.300988
417,110,7,562,912.000000,0.300367
418,110,7,562,912.000000,0.299746
419,110,7,561,911.000000,0.35541
420,110,7,557,907.000000,0.595631
421,109,7,560,910.000000,0.210748
422,109,7,560,910.000000,0.353504
423,108,7,563,913.000000,0.209611
424,108,7,563,913.000000,0.352227
425,107,7,567,917.000000,0.175142
426,107,7,567,917.000000,0.350947
427,107,7,567,917.000000,0.350305
428,106,7,569,919.000000,0.246338
429,106,7,570,920.000000,0.292857
430,107,7,566,916.000000,0.703636
431,106,7,568,918.000000,0.244522
432,106,7,568,918.000000,0.34708
433,106,7,568,918.000000,0.346431
434,106,7,566,916.000000,0.492646
435,106,7,566,916.000000,0.345131
436,106,7,565,915.000000,0.411437
437,106,7,566,916.000000,0.287782
438,106,7,562,912.000000,0.700118
439,105,7,564,914.000000,0.239651
440,105,7,564,914.000000,0.341863
441,105,7,566,916.000000,0.238427
442,105,7,567,917.000000,0.284582
443,104,7,569,919.000000,0.237201
444,104,7,569,919.000000,0.339229
445,105,7,567,917.000000,0.485769
446,105,7,567,917.000000,0.337905
447,106,7,564,914.000000,0.580725
448,107,7,562,912.000000,0.483863
449,108,7,560,910.000000,0.483225
450,109,7,558,908.000000,0.482585
451,110,7,556,906.000000,0.481944
452,110,7,556,906.000000,0.333907
453,110,7,552,902.000000,0.693295
454,110,7,552,902.000000,0.332566
455,110,7,552,902.000000,0.331893
456,110,7,552,902.000000,0.33122
457,110,7,552,902.000000,0.330545
458,109,7,554,904.000000,0.227924
459,109,7,554,904.000000,0.329193
460,110,7,552,902.000000,0.476106
461,110,7,552,902.000000,0.327836
462,110,7,552,902.000000,0.327156
463,110,7,552,902.000000,0.326475
464,111,7,549,899.000000,0.570782
465,111,7,549,899.000000,0.325109
466,111,7,547,897.000000,0.472145
467,111,7,547,897.000000,0.323738
468,110,7,550,900.000000,0.183615
469,109,7,556,906.000000,0.103918
470,109,7,555,905.000000,0.38861
471,110,7,553,903.000000,0.468802
472,110,7,553,903.000000,0.320293
473,110,7,553,903.000000,0.3196
474,111,7,547,897.000000,1
475,111,7,546,896.000000,0.385121
476,111,7,546,896.000000,0.317516
477,112,7,544,894.000000,0.464737
478,112,7,544,894.000000,0.316121
479,111,7,546,896.000000,0.214711
480,111,7,546,896.000000,0.314721
481,110,7,549,899.000000,0.175968
482,110,7,549,899.000000,0.313316
483,110,7,550,900.000000,0.257538
484,110,7,550,900.000000,0.311908
485,109,7,557,907.000000,0.0797241
486,110,7,553,903.000000,0.55722
487,110,7,553,903.000000,0.254823
488,110,7,554,904.000000,0.208971
489,110,7,554,904.000000,0.25346
490,110,7,554,904.000000,0.252778
491,110,7,554,904.000000,0.252094
492,110,7,554,904.000000,0.25141
493,110,7,554,904.000000,0.250725
494,110,7,554,904.000000,0.250039
495,111,7,547,897.000000,1
496,112,7,544,894.000000,0.550779
497,112,7,543,893.000000,0.369348
498,113,7,541,891.000000,0.450047
499,114,7,539,889.000000,0.449329
500,114,7,535,885.000000,0.669783
501,114,7,534,884.000000,0.366405
502,114,7,534,884.000000,0.29902
503,113,7,536,886.000000,0.199308
504,112,7,539,889.000000,0.162321
505,113,7,536,886.000000,0.544827
506,113,7,537,887.000000,0.241743
507,113,7,537,887.000000,0.295374
508,114,7,535,885.000000,0.442788
509,114,7,535,885.000000,0.293908
510,115,7,533,883.000000,0.441315
511,115,7,531,881.000000,0.440576
512,115,7,531,881.000000,0.291699
513,116,7,528,878.000000,0.539408
514,116,7,528,878.000000,0.290221
515,115,7,531,881.000000,0.15575
516,116,7,529,879.000000,0.436854
517,116,7,529,879.000000,0.287995
518,115,7,532,882.000000,0.153954
519,115,7,532,882.000000,0.434598
520,115,7,532,882.000000,0.433843
521,115,7,532,882.000000,0.433086
522,115,7,532,882.000000,0.432326
523,116,7,530,880.000000,0.656936
524,116,7,532,882.000000,0.28276
525,116,7,532,882.000000,0.430038
526,116,7,532,882.000000,0.429271
527,116,7,532,882.000000,0.428503
528,116,7,533,883.000000,0.345912
529,116,7,533,883.000000,0.42696
530,117,7,531,881.000000,0.65283
531,117,7,531,881.000000,0.42541
532,117,7,531,881.000000,0.424633
533,118,7,529,879.000000,0.65104
534,118,7,529,879.000000,0.423071
535,117,7,531,881.000000,0.274418
536,117,7,531,881.000000,0.421502
537,117,7,531,881.000000,0.420714
538,117,7,531,881.000000,0.419925
539,116,7,533,883.000000,0.271349
540,116,7,535,885.000000,0.270579
541,117,7,533,883.000000,0.646177
542,118,7,531,881.000000,0.64556
543,118,7,531,881.000000,0.415949
544,118,7,531,881.000000,0.415148
545,118,7,531,881.000000,0.414345
546,117,7,533,883.000000,0.265935
547,116,7,539,889.000000,0.109439
548,117,7,537,887.000000,0.411923
549,117,7,538,888.000000,0.211072
550,117,7,538,888.000000,0.262816
551,117,7,538,888.000000,0.262033
552,117,7,544,894.000000,0.068251
553,117,7,544,894.000000,0.260464
554,117,7,544,894.000000,0.259678
555,117,7,540,890.000000,0.637341
556,116,7,542,892.000000,0.164332
557,117,7,539,889.000000,0.507259
558,118,7,537,887.000000,0.403722
559,119,7,535,885.000000,0.40289
560,120,7,533,883.000000,0.402057
561,120,7,533,883.000000,0.254142
562,120,7,533,883.000000,0.253346
563,120,7,533,883.000000,0.25255
564,120,7,533,883.000000,0.251752
565,120,7,533,883.000000,0.250953
566,120,7,533,883.000000,0.250153
567,120,7,533,883.000000,0.249352
568,120,7,533,883.000000,0.24855
569,120,7,533,883.000000,0.247747
570,121,7,531,881.000000,0.393608
571,121,7,531,881.000000,0.246136
572,121,7,531,881.000000,0.24533
573,121,7,531,881.000000,0.244522
574,120,7,535,885.000000,0.0950891
575,119,7,537,887.000000,0.151557
576,119,7,539,889.000000,0.150883
577,120,7,537,887.000000,0.387567
578,120,7,537,887.000000,0.240466
579,120,7,537,887.000000,0.239651
580,120,7,538,888.000000,0.188126
581,120,7,538,888.000000,0.238019
582,120,7,538,888.000000,0.237201
583,120,7,538,888.000000,0.236382
584,120,7,537,887.000000,0.299746
585,119,7,539,889.000000,0.144805
586,119,7,539,889.000000,0.233918
587,119,7,536,886.000000,0.482799
588,119,7,535,885.000000,0.481944
589,118,7,537,887.000000,0.231445
590,118,7,537,887.000000,0.376064
591,117,7,540,890.000000,0.17984
592,118,7,537,887.000000,0.782157
593,119,7,533,883.000000,1
594,119,7,534,884.000000,0.29096
595,119,7,534,884.000000,0.37154
596,118,7,536,886.000000,0.225636
597,119,7,533,883.000000,0.77977
598,120,7,531,881.000000,0.607287
599,121,7,527,877.000000,1
600,121,7,527,877.000000,0.222293
601,121,7,527,877.000000,0.221455
602,121,7,527,877.000000,0.220615
603,121,7,527,877.000000,0.219775
604,121,7,521,871.000000,1
605,121,7,521,871.000000,0.36232
606,122,7,518,868.000000,0.775341
607,121,7,520,870.000000,0.216403
608,121,7,520,870.000000,0.359508
609,121,7,520,870.000000,0.358567
610,122,7,518,868.000000,0.598015
611,123,7,516,866.000000,0.597223
612,123,7,518,868.000000,0.212166
613,123,7,518,868.000000,0.273806
614,123,7,518,868.000000,0.272886
615,123,7,518,868.000000,0.271965
616,123,7,518,868.000000,0.271042
617,123,7,518,868.000000,0.270117
618,123,7,518,868.000000,0.269191
619,123,7,516,866.000000,0.454084
620,122,7,518,868.000000,0.157715
621,122,7,518,868.000000,0.266401
622,123,7,515,865.000000,0.588308
623,123,7,515,865.000000,0.264534
624,123,7,515,865.000000,0.263597
625,124,7,512,862.000000,0.58581
626,124,7,512,862.000000,0.261719
627,124,7,512,862.000000,0.260778
628,124,7,512,862.000000,0.259835
629,125,7,509,859.000000,0.582433
630,125,7,509,859.000000,0.257944
631,125,7,510,860.000000,0.195844
632,125,7,510,860.000000,0.256046
633,125,7,510,860.000000,0.255095
634,125,7,510,860.000000,0.254142
635,125,7,512,862.000000,0.146157
636,125,7,511,861.000000,0.33223
637,124,7,513,863.000000,0.144612
638,124,7,513,863.000000,0.250313
639,125,7,511,861.000000,0.434598
640,125,7,511,861.000000,0.248389
641,125,7,511,861.000000,0.247425
642,125,7,511,861.000000,0.246459
643,125,7,511,861.000000,0.245491
644,125,7,511,861.000000,0.244522
645,125,7,511,861.000000,0.243551
646,124,7,514,864.000000,0.103696
