i,c,d,l,s
507,2791,24,1149,2466.000000
508,2791,24,1149,2466.000000
509,2791,24,1149,2466.000000
510,2791,24,1149,2466.000000
511,2791,24,1149,2466.000000
512,2791,24,1149,2466.000000
513,2791,24,1149,2466.000000
514,2791,24,1149,2466.000000
515,2791,24,1149,2466.000000
516,2791,24,1149,2466.000000
517,2791,24,1149,2466.000000
518,2791,24,1149,2466.000000
519,2791,24,1149,2466.000000
520,2791,24,1149,2466.000000
521,2791,24,1149,2466.000000
522,2791,24,1149,2466.000000
523,2791,24,1149,2466.000000
524,2791,24,1149,2466.000000
525,2791,24,1149,2466.000000
526,2791,24,1149,2466.000000
527,2791,24,1149,2466.000000
528,2791,24,1149,2466.000000
529,2791,24,1149,2466.000000
530,2791,24,1149,2466.000000
531,2791,24,1149,2466.000000
532,2791,24,1149,2466.000000
533,2791,24,1149,2466.000000
534,2791,24,1149,2466.000000
535,2791,24,1149,2466.000000
536,2791,24,1149,2466.000000
537,2791,24,1149,2466.000000
538,2791,24,1149,2466.000000
539,2791,24,1149,2466.000000
540,2791,24,1149,2466.000000
541,2791,24,1149,2466.000000
542,2791,24,1149,2466.000000
543,2791,24,1149,2466.000000
544,2791,24,1149,2466.000000
545,2791,24,1149,2466.000000
546,2791,24,1149,2466.000000
547,2791,24,1149,2466.000000
548,2791,24,1149,2466.000000
549,2791,24,1149,2466.000000
550,2791,24,1149,2466.000000
551,2791,24,1149,2466.000000
552,2791,24,1149,2466.000000
553,2791,24,1149,2466.000000
554,2791,24,1149,2466.000000
555,2791,24,1149,2466.000000
556,2791,24,1149,2466.000000
557,2791,24,1149,2466.000000
558,2791,24,1149,2466.000000
559,2791,24,1149,2466.000000
560,2791,24,1149,2466.000000
561,2791,24,1149,2466.000000
562,2791,24,1149,2466.000000
563,2791,24,1149,2466.000000
564,2791,24,1149,2466.000000
565,2791,24,1149,2466.000000
566,2791,24,1149,2466.000000
567,2791,24,1149,2466.000000
568,2791,24,1149,2466.000000
569,2791,24,1149,2466.000000
570,2791,24,1149,2466.000000
571,2791,24,1149,2466.000000
572,2791,24,1149,2466.000000
573,2791,24,1149,2466.000000
574,2791,24,1149,2466.000000
575,2791,24,1149,2466.000000
576,2791,24,1149,2466.000000
577,2791,24,1149,2466.000000
578,2791,24,1149,2466.000000
579,2791,24,1149,2466.000000
580,2791,24,1149,2466.000000
581,2791,24,1149,2466.000000
582,2791,24,1149,2466.000000
583,2791,24,1149,2466.000000
584,2791,24,1149,2466.000000
585,2791,24,1149,2466.000000
586,2791,24,1149,2466.000000
587,2791,24,1149,2466.000000
588,2791,24,1149,2466.000000
589,2791,24,1149,2466.000000
590,2791,24,1149,2466.000000
591,2791,24,1149,2466.000000
592,2791,24,1149,2466.000000
593,2791,24,1149,2466.000000
594,2791,24,1149,2466.000000
595,2791,24,1149,2466.000000
596,2791,24,1149,2466.000000
597,2791,24,1149,2466.000000
598,2791,24,1149,2466.000000
599,2791,24,1149,2466.000000
600,2791,24,1149,2466.000000
601,2791,24,1149,2466.000000
602,2791,24,1149,2466.000000
603,2791,24,1149,2466.000000
604,2791,24,1149,2466.000000
605,2791,24,1149,2466.000000
606,2791,24,1149,2466.000000
607,2791,24,1149,2466.000000
608,2791,24,1149,2466.000000
609,2791,24,1149,2466.000000
610,2791,24,1149,2466.000000
611,2791,24,1149,2466.000000
612,2791,24,1149,2466.000000
613,2791,24,1149,2466.000000
614,2791,24,1149,2466.000000
615,2791,24,1149,2466.000000
616,2791,24,1149,2466.000000
617,2791,24,1149,2466.000000
618,2791,24,1149,2466.000000
619,2791,24,1149,2466.000000
620,2791,24,1149,2466.000000
621,2791,24,1149,2466.000000
622,2791,24,1149,2466.000000
623,2791,24,1149,2466.000000
624,2791,24,1149,2466.000000
625,2791,24,1149,2466.000000
626,2791,24,1149,2466.000000
627,2791,24,1149,2466.000000
628,2791,24,1149,2466.000000
629,2791,24,1149,2466.000000
630,2791,24,1149,2466.000000
631,2791,24,1149,2466.000000
632,2791,24,1149,2466.000000
633,2791,24,1149,2466.000000
634,2791,24,1149,2466.000000
635,2791,24,1149,2466.000000
636,2791,24,1149,2466.000000
637,2791,24,1149,2466.000000
638,2791,24,1149,2466.000000
639,2791,24,1149,2466.000000
640,2791,24,1149,2466.000000
641,2791,24,1149,2466.000000
642,2791,24,1149,2466.000000
643,2791,24,1149,2466.000000
644,2791,24,1149,2466.000000
645,2791,24,1149,2466.000000
646,2791,24,1149,2466.000000
647,2791,24,1149,2466.000000
648,2791,24,1149,2466.000000
649,2791,24,1149,2466.000000
650,2791,24,1149,2466.000000
651,2791,24,1149,2466.000000
652,2791,24,1149,2466.000000
653,2791,24,1149,2466.000000
654,2791,24,1149,2466.000000
655,2791,24,1149,2466.000000
656,2791,24,1149,2466.000000
657,2791,24,1149,2466.000000
658,2791,24,1149,2466.000000
659,2791,24,1149,2466.000000
660,2791,24,1149,2466.000000
661,2791,24,1149,2466.000000
662,2791,24,1149,2466.000000
663,2791,24,1149,2466.000000
664,2791,24,1149,2466.000000
665,2791,24,1149,2466.000000
666,2791,24,1149,2466.000000
667,2791,24,1149,2466.000000
668,2791,24,1149,2466.000000
669,2791,24,1149,2466.000000
670,2791,24,1149,2466.000000
671,2791,24,1149,2466.000000
672,2791,24,1149,2466.000000
673,2791,24,1149,2466.000000
674,2791,24,1149,2466.000000
675,2791,24,1149,2466.000000
676,2791,24,1149,2466.000000
677,2791,24,1149,2466.000000
678,2791,24,1149,2466.000000
679,2791,24,1149,2466.000000
680,2791,24,1149,2466.000000
681,2791,24,1149,2466.000000
682,2791,24,1149,2466.000000
683,2791,24,1149,2466.000000
684,2791,24,1149,2466.000000
685,2791,24,1149,2466.000000
686,2791,24,1149,2466.000000
687,2791,24,1149,2466.000000
688,2791,24,1149,2466.000000
689,2791,24,1149,2466.000000
690,2791,24,1149,2466.000000
691,2791,24,1149,2466.000000
692,2791,24,1149,2466.000000
693,2791,24,1149,2466.000000
694,2791,24,1149,2466.000000
695,2791,24,1149,2466.000000
696,2791,24,1149,2466.000000
697,2791,24,1149,2466.000000
