nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
1875,248,5,5,0,0,1924,1903,7,1843,1913,20.570770978927612,6,1821,1881,11.983258962631226,50,90,2.0,0.5
1035,122,5,5,0,0,1027,1044,6,970,1030,9.368789196014404,5,974,1024,6.0886757373809814,50,90,2.0,0.5
556,17,2,2,0,0,589,557,2,502,522,5.696585178375244,2,502,522,0.15820550918579102,50,90,2.0,0.5
896,82,5,5,0,0,825,910,5,729,779,9.44367265701294,5,729,779,11.778279781341553,50,90,2.0,0.5
1754,342,7,7,0,0,1675,1776,11,1605,1715,22.154207468032837,7,1580,1650,5.449914932250977,50,90,2.0,0.5
1657,375,6,6,0,0,1621,1685,11,1514,1624,17.007254362106323,7,1527,1597,1.4711241722106934,50,90,2.0,0.5
797,168,8,8,0,0,768,806,12,642,762,9.820075035095215,8,647,727,2.554302930831909,50,90,2.0,0.5
785,155,7,7,0,0,740,792,9,661,751,8.064648628234863,7,655,725,4.839941501617432,50,90,2.0,0.5
960,73,4,4,0,0,845,965,5,783,833,9.870422601699829,4,784,824,10.298141479492188,50,90,2.0,0.5
1506,216,6,6,0,0,1533,1535,9,1423,1513,16.204131364822388,9,1411,1501,76.35834336280823,50,90,2.0,0.5
761,30,1,1,0,0,817,763,1,744,754,7.007978677749634,1,744,754,0.09211540222167969,50,90,2.0,0.5
1107,206,6,6,0,0,1126,1135,9,1018,1108,14.442307710647583,7,1005,1075,23.18383479118347,50,90,2.0,0.5
895,42,1,1,0,0,942,900,1,874,884,3.927558660507202,1,874,884,0.06410670280456543,50,90,2.0,0.5
1286,197,4,4,0,0,1243,1313,5,1169,1219,8.775142431259155,4,1178,1218,3.3794679641723633,50,90,2.0,0.5
1034,74,2,2,0,0,939,1042,2,866,886,11.186301708221436,2,866,886,0.14513754844665527,50,90,2.0,0.5
862,44,2,2,0,0,832,865,2,741,761,9.473736047744751,3,737,767,0.4721674919128418,50,90,2.0,0.5
944,124,5,5,0,0,915,960,7,803,873,10.246346712112427,6,801,861,5.099967956542969,50,90,2.0,0.5
1222,165,5,5,0,0,1209,1239,7,1123,1193,14.289146423339844,5,1114,1164,7.065964937210083,50,90,2.0,0.5
652,24,1,1,0,0,595,652,1,533,543,4.364930152893066,1,533,543,0.09517121315002441,50,90,2.0,0.5
1017,176,6,6,0,0,1073,1035,10,997,1097,10.185479164123535,7,985,1055,36.68032455444336,50,90,2.0,0.5
1645,125,2,2,0,0,1617,1651,2,1586,1606,10.531189918518066,2,1586,1606,0.20392918586730957,50,90,2.0,0.5
2465,337,5,5,0,0,2617,2498,11,2492,2602,27.459569692611694,7,2488,2558,41.828160524368286,50,90,2.0,0.5
573,57,3,3,0,0,549,577,3,458,488,6.553761959075928,3,458,488,0.11055207252502441,50,90,2.0,0.5
752,142,5,5,0,0,801,769,12,674,794,9.10006046295166,5,691,741,2.2755801677703857,50,90,2.0,0.5
2007,323,6,6,0,0,2065,2041,11,1949,2059,22.022637844085693,8,1926,2006,44.24306631088257,50,90,2.0,0.5
2521,393,5,5,0,0,2511,2537,7,2462,2532,27.138490200042725,5,2441,2491,2.2057950496673584,50,90,2.0,0.5
704,8,1,1,0,0,674,704,1,591,601,6.617565155029297,1,591,601,0.11111044883728027,50,90,2.0,0.5
701,161,4,4,0,0,640,707,6,555,615,7.5077595710754395,4,566,606,0.17464041709899902,50,90,2.0,0.5
1163,128,3,3,0,0,1169,1179,3,1113,1143,9.970008373260498,3,1113,1143,0.5004229545593262,50,90,2.0,0.5
