nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
974,145,3,3,0,0,905,981,4,850,890,93.45589470863342,4,850,890,0.0979776382446289,50,90,2.0,0.5
1020,61,2,2,0,0,994,1027,2,936,956,92.02158427238464,2,936,956,0.20833110809326172,50,90,2.0,0.5
1422,212,5,5,0,0,1401,1448,5,1323,1373,172.38995480537415,5,1323,1373,1.8787553310394287,50,90,2.0,0.5
1000,154,3,3,0,0,990,1008,3,937,967,108.33865261077881,3,937,967,0.25912928581237793,50,90,2.0,0.5
621,67,4,4,0,0,609,626,4,518,558,65.40924620628357,5,517,567,0.23657870292663574,50,90,2.0,0.5
2013,306,5,5,0,0,1966,2034,8,1886,1966,217.4552698135376,6,1899,1959,8.087337017059326,50,90,2.0,0.5
925,103,3,3,0,0,934,933,3,837,867,83.89475989341736,3,837,867,0.2799243927001953,50,90,2.0,0.5
466,3,1,1,0,0,459,466,1,360,370,28.902323246002197,1,360,370,0.03721976280212402,50,90,2.0,0.5
753,90,3,3,0,0,770,761,3,681,711,85.19595456123352,3,681,711,0.41135120391845703,50,90,2.0,0.5
3364,614,6,6,0,0,3376,3396,7,3298,3368,408.21994280815125,6,3306,3366,2.9630956649780273,50,90,2.0,0.5
1862,383,6,6,0,0,1868,1898,6,1786,1846,222.48682022094727,6,1786,1846,2.2452385425567627,50,80,2.0,0.5
1118,282,7,7,0,0,1095,1153,8,994,1074,128.90812635421753,7,1000,1070,19.60771417617798,50,80,2.0,0.5
1057,261,5,5,0,0,1019,1085,6,930,990,134.11819505691528,5,935,985,1.4121205806732178,50,80,2.0,0.5
3194,347,5,5,0,0,3113,3219,7,3036,3106,280.9408094882965,7,3036,3106,2.23563289642334,50,80,2.0,0.5
542,65,5,5,0,0,541,545,5,456,506,57.92541551589966,5,456,506,0.22673392295837402,50,80,2.0,0.5
792,106,4,4,0,0,845,815,4,718,758,88.16461896896362,5,716,766,1.0035638809204102,50,80,2.0,0.5
1157,131,4,4,0,0,1234,1175,4,1156,1196,123.17266488075256,4,1156,1196,3.8723084926605225,50,80,2.0,0.5
621,20,2,2,0,0,617,623,2,546,566,41.6200635433197,2,546,566,0.08239078521728516,50,80,2.0,0.5
482,46,2,2,0,0,492,482,2,423,443,55.468422651290894,2,423,443,0.0354771614074707,50,80,2.0,0.5
1584,198,4,4,0,0,1608,1596,4,1559,1599,144.10035490989685,4,1559,1599,0.531888484954834,50,80,2.0,0.5
1349,132,3,3,0,0,1319,1367,3,1250,1280,109.59159207344055,3,1250,1280,0.4905116558074951,50,80,2.0,0.5
1157,135,4,4,0,0,1137,1171,5,1064,1114,115.23051333427429,5,1064,1114,1.4143216609954834,50,80,2.0,0.5
1121,171,6,6,0,0,1105,1148,6,998,1058,113.97279119491577,6,998,1058,8.454140424728394,50,80,2.0,0.5
830,84,5,5,0,0,855,836,5,776,826,98.9078938961029,6,774,834,2.7450127601623535,50,80,2.0,0.5
667,108,4,4,0,0,634,682,4,558,598,66.28549551963806,4,558,598,0.665283203125,50,80,2.0,0.5
934,69,2,2,0,0,961,944,2,895,915,88.67407536506653,2,895,915,0.2570028305053711,50,80,2.0,0.5
1184,148,4,4,0,0,1166,1211,5,1066,1116,116.20496821403503,4,1075,1115,2.71994686126709,50,80,2.0,0.5
999,261,7,7,0,0,991,1025,7,880,950,132.5893235206604,8,877,957,8.046269416809082,50,80,2.0,0.5
513,58,2,2,0,0,510,519,2,434,454,41.50039553642273,2,434,454,0.05388069152832031,50,80,2.0,0.5
3015,446,5,5,0,0,2972,3055,6,2855,2915,297.6417200565338,7,2850,2920,0.6990759372711182,50,80,2.0,0.5
763,129,5,5,0,0,751,781,5,644,694,79.5909833908081,5,644,694,3.01473069190979,50,80,2.0,0.5
1474,228,5,5,0,0,1472,1499,5,1382,1432,170.4510040283203,5,1382,1432,1.4570114612579346,50,80,2.0,0.5
651,30,2,2,0,0,669,655,2,567,587,63.41306972503662,2,567,587,0.0746455192565918,50,80,2.0,0.5
724,153,8,8,0,0,760,738,8,667,747,66.7978880405426,8,667,747,18.935646772384644,50,80,2.0,0.5
656,88,3,3,0,0,682,663,3,616,646,68.01412844657898,3,616,646,0.3186342716217041,50,80,2.0,0.5
524,13,1,1,0,0,552,526,1,473,483,43.19951939582825,1,473,483,0.033895254135131836,50,80,2.0,0.5
1322,168,4,4,0,0,1320,1336,5,1248,1298,124.39303088188171,4,1262,1302,0.8639018535614014,50,80,2.0,0.5
971,85,3,3,0,0,924,984,3,829,859,92.73772120475769,3,829,859,0.6367533206939697,50,80,2.0,0.5
